Year,County,Month,Male,Female,Unknown,Total
2020,Talbot,4,0,0,0,0
2020,Talbot,5,0,0,0,0
2020,Talbot,6,0,0,0,0
2018,Baltimore,1,48,37,3,88
2018,Baltimore,10,88,74,6,168
2018,Baltimore,11,55,63,6,124
2018,Baltimore,12,52,67,4,123
2018,Baltimore,2,49,69,4,122
2018,Baltimore,3,60,63,2,125
2018,Baltimore,4,69,79,4,152
2018,Baltimore,5,52,57,5,114
2018,Baltimore,6,80,72,2,154
2018,Baltimore,7,81,57,2,140
2018,Baltimore,8,75,76,5,156
2018,Baltimore,9,61,77,6,144
2019,Baltimore,1,73,70,6,149
2019,Baltimore,10,77,71,1,149
2019,Baltimore,11,70,65,1,136
2019,Baltimore,12,63,63,1,127
2019,Baltimore,2,56,55,3,114
2019,Baltimore,3,63,71,1,135
2019,Baltimore,4,73,69,1,143
2019,Baltimore,5,87,90,2,179
2019,Baltimore,6,96,81,1,178
2019,Baltimore,7,83,79,5,167
2019,Baltimore,8,88,105,3,196
2019,Baltimore,9,70,83,1,154
2020,Baltimore,1,58,75,2,135
2020,Baltimore,2,58,72,1,131
2020,Baltimore,3,45,56,0,101
2020,Baltimore,4,10,3,0,13
2020,Baltimore,5,13,11,1,25
2020,Baltimore,6,74,90,0,164
2018,Dorchester,1,1,1,0,2
2018,Dorchester,10,7,6,0,13
2018,Dorchester,11,5,2,0,7
2018,Dorchester,12,5,3,0,8
2018,Dorchester,2,0,1,0,1
2018,Dorchester,3,5,1,0,6
2018,Dorchester,4,6,7,0,13
2018,Dorchester,5,6,2,0,8
2018,Dorchester,6,4,3,0,7
2018,Dorchester,7,0,0,0,0
2018,Dorchester,8,5,4,2,11
2018,Dorchester,9,6,2,0,8
2019,Dorchester,1,3,4,0,7
2019,Dorchester,10,6,8,0,14
2019,Dorchester,11,5,11,1,17
2019,Dorchester,12,1,4,0,5
2019,Dorchester,2,3,3,0,6
2019,Dorchester,3,6,3,0,9
2019,Dorchester,4,6,3,0,9
2019,Dorchester,5,2,6,0,8
2019,Dorchester,6,4,4,1,9
2019,Dorchester,7,4,8,0,12
2019,Dorchester,8,10,7,1,18
2019,Dorchester,9,6,11,0,17
2020,Dorchester,1,7,2,0,9
2020,Dorchester,2,4,8,0,12
2020,Dorchester,3,4,8,0,12
2020,Dorchester,4,1,0,0,1
2020,Dorchester,5,0,0,0,0
2020,Dorchester,6,4,5,0,9
2018,Montgomery,1,66,26,1,93
2018,Montgomery,10,98,66,0,164
2018,Montgomery,11,65,66,0,131
2018,Montgomery,12,56,46,2,104
2018,Montgomery,2,66,36,1,103
2018,Montgomery,3,62,48,5,115
2018,Montgomery,4,67,47,0,114
2018,Montgomery,5,65,48,9,122
2018,Montgomery,6,60,63,1,124
2018,Montgomery,7,79,60,0,139
2018,Montgomery,8,96,74,2,172
2018,Montgomery,9,72,41,0,113
2019,Montgomery,1,69,52,0,121
2019,Montgomery,10,77,63,0,140
2019,Montgomery,11,55,52,0,107
2019,Montgomery,12,57,48,0,105
2019,Montgomery,2,55,42,0,97
2019,Montgomery,3,58,58,0,116
2019,Montgomery,4,63,66,0,129
2019,Montgomery,5,86,44,0,130
2019,Montgomery,6,63,60,0,123
2019,Montgomery,7,77,70,2,149
2019,Montgomery,8,72,72,3,147
2019,Montgomery,9,89,76,1,166
2020,Montgomery,1,63,51,0,114
2020,Montgomery,2,61,51,0,112
2020,Montgomery,3,37,27,1,65
2020,Montgomery,4,1,1,0,2
2020,Montgomery,5,25,3,0,28
2020,Montgomery,6,118,90,2,210
2018,Washington,1,13,6,0,19
2018,Washington,10,24,23,0,47
2018,Washington,11,10,10,0,20
2018,Washington,12,20,10,1,31
2018,Washington,2,15,7,0,22
2018,Washington,3,22,12,0,34
2018,Washington,4,21,15,0,36
2018,Washington,5,14,23,0,37
2018,Washington,6,10,17,0,27
2018,Washington,7,18,22,0,40
2018,Washington,8,23,13,0,36
2018,Washington,9,20,15,0,35
2019,Washington,1,8,8,1,17
2019,Washington,10,24,14,0,38
2019,Washington,11,11,14,0,25
2019,Washington,12,16,15,3,34
2019,Washington,2,13,15,0,28
2019,Washington,3,20,19,0,39
2019,Washington,4,19,16,0,35
2019,Washington,5,23,14,1,38
2019,Washington,6,27,7,2,36
2019,Washington,7,19,24,0,43
2019,Washington,8,33,15,0,48
2019,Washington,9,25,22,0,47
2020,Washington,1,13,6,0,19
2020,Washington,2,16,8,0,24
2020,Washington,3,11,7,0,18
2020,Washington,4,0,0,0,0
2020,Washington,5,4,7,0,11
2020,Washington,6,22,13,1,36
2018,Calvert,1,1,0,0,1
2018,Calvert,10,11,9,0,20
2018,Calvert,11,13,3,0,16
2018,Calvert,12,8,3,0,11
2018,Calvert,2,0,0,0,0
2018,Calvert,3,1,0,0,1
2018,Calvert,4,4,2,0,6
2018,Calvert,5,4,2,0,6
2018,Calvert,6,0,0,0,0
2018,Calvert,7,0,0,0,0
2018,Calvert,8,2,3,0,5
2018,Calvert,9,7,5,0,12
2019,Calvert,1,7,3,0,10
2019,Calvert,10,10,7,1,18
2019,Calvert,11,14,4,0,18
2019,Calvert,12,10,14,0,24
2019,Calvert,2,6,4,0,10
2019,Calvert,3,10,4,0,14
2019,Calvert,4,15,11,0,26
2019,Calvert,5,10,7,0,17
2019,Calvert,6,10,2,1,13
2019,Calvert,7,14,7,0,21
2019,Calvert,8,11,9,0,20
2019,Calvert,9,9,7,0,16
2020,Calvert,1,14,3,0,17
2020,Calvert,2,7,8,0,15
2020,Calvert,3,7,2,0,9
2020,Calvert,4,5,0,0,5
2020,Calvert,5,5,5,0,10
2020,Calvert,6,13,15,0,28
2018,Frederick,1,13,10,6,29
2018,Frederick,10,21,21,2,44
2018,Frederick,11,22,7,0,29
2018,Frederick,12,20,13,0,33
2018,Frederick,2,9,13,1,23
2018,Frederick,3,15,3,1,19
2018,Frederick,4,17,13,0,30
2018,Frederick,5,19,21,0,40
2018,Frederick,6,23,11,1,35
2018,Frederick,7,19,11,3,33
2018,Frederick,8,16,13,3,32
2018,Frederick,9,31,12,3,46
2019,Frederick,1,22,17,1,40
2019,Frederick,10,24,19,0,43
2019,Frederick,11,23,13,2,38
2019,Frederick,12,15,21,0,36
2019,Frederick,2,10,14,1,25
2019,Frederick,3,18,16,0,34
2019,Frederick,4,17,26,0,43
2019,Frederick,5,30,12,0,42
2019,Frederick,6,20,16,0,36
2019,Frederick,7,28,24,0,52
2019,Frederick,8,33,18,0,51
2019,Frederick,9,21,13,1,35
2020,Frederick,1,26,27,0,53
2020,Frederick,2,15,14,0,29
2020,Frederick,3,13,16,0,29
2020,Frederick,4,5,5,0,10
2020,Frederick,5,5,3,0,8
2020,Frederick,6,18,6,0,24
2018,Prince_Georges,1,79,85,2,166
2018,Prince_Georges,10,115,121,5,241
2018,Prince_Georges,11,111,90,5,206
2018,Prince_Georges,12,84,78,8,170
2018,Prince_Georges,2,58,90,3,151
2018,Prince_Georges,3,101,90,6,197
2018,Prince_Georges,4,78,94,12,184
2018,Prince_Georges,5,92,90,6,188
2018,Prince_Georges,6,107,95,10,212
2018,Prince_Georges,7,110,101,4,215
2018,Prince_Georges,8,115,116,6,237
2018,Prince_Georges,9,106,92,3,201
2019,Prince_Georges,1,96,95,8,199
2019,Prince_Georges,10,91,107,6,204
2019,Prince_Georges,11,112,97,5,214
2019,Prince_Georges,12,94,111,8,213
2019,Prince_Georges,2,68,90,7,165
2019,Prince_Georges,3,89,80,4,173
2019,Prince_Georges,4,101,124,10,235
2019,Prince_Georges,5,100,125,12,237
2019,Prince_Georges,6,95,97,10,202
2019,Prince_Georges,7,139,148,9,296
2019,Prince_Georges,8,130,115,8,253
2019,Prince_Georges,9,102,101,7,210
