Year,County,Month,Male,Female,Unknown,Total
2020,Baltimore,3,112,43,2,157
2020,Baltimore,4,49,14,2,65
2020,Baltimore,5,67,18,0,85
2020,Baltimore,6,187,49,0,236
2018,Dorchester,1,8,0,1,9
2018,Dorchester,10,13,2,1,16
2018,Dorchester,11,8,3,0,11
2018,Dorchester,12,8,6,0,14
2018,Dorchester,2,6,2,0,8
2018,Dorchester,3,5,2,0,7
2018,Dorchester,4,7,3,0,10
2018,Dorchester,5,10,3,0,13
2018,Dorchester,6,15,2,0,17
2018,Dorchester,7,8,1,0,9
2018,Dorchester,8,12,5,0,17
2018,Dorchester,9,6,3,0,9
2019,Dorchester,1,14,6,1,21
2019,Dorchester,10,15,4,0,19
2019,Dorchester,11,11,9,0,20
2019,Dorchester,12,15,5,0,20
2019,Dorchester,2,4,3,0,7
2019,Dorchester,3,20,6,0,26
2019,Dorchester,4,7,2,0,9
2019,Dorchester,5,15,5,0,20
2019,Dorchester,6,13,6,1,20
2019,Dorchester,7,19,3,0,22
2019,Dorchester,8,10,4,0,14
2019,Dorchester,9,19,5,0,24
2020,Dorchester,1,16,6,0,22
2020,Dorchester,2,12,3,0,15
2020,Dorchester,3,12,5,0,17
2020,Dorchester,4,1,0,0,1
2020,Dorchester,5,2,1,0,3
2020,Dorchester,6,22,9,0,31
2018,Montgomery,1,166,49,0,215
2018,Montgomery,10,197,57,1,255
2018,Montgomery,11,178,46,0,224
2018,Montgomery,12,171,41,0,212
2018,Montgomery,2,162,40,1,203
2018,Montgomery,3,172,42,3,217
2018,Montgomery,4,171,46,2,219
2018,Montgomery,5,187,41,4,232
2018,Montgomery,6,178,53,4,235
2018,Montgomery,7,177,49,2,228
2018,Montgomery,8,176,43,1,220
2018,Montgomery,9,157,56,0,213
2019,Montgomery,1,166,47,1,214
2019,Montgomery,10,200,60,1,261
2019,Montgomery,11,152,35,0,187
2019,Montgomery,12,185,33,1,219
2019,Montgomery,2,170,33,0,203
2019,Montgomery,3,176,47,0,223
2019,Montgomery,4,170,35,0,205
2019,Montgomery,5,199,47,2,248
2019,Montgomery,6,163,40,0,203
2019,Montgomery,7,183,51,3,237
2019,Montgomery,8,187,51,0,238
2019,Montgomery,9,168,55,1,224
2020,Montgomery,1,182,62,0,244
2020,Montgomery,2,153,39,0,192
2020,Montgomery,3,91,34,0,125
2020,Montgomery,4,54,9,0,63
2020,Montgomery,5,79,19,0,98
2020,Montgomery,6,294,59,3,356
2018,Washington,1,51,15,0,66
2018,Washington,10,60,20,0,80
2018,Washington,11,53,15,0,68
2018,Washington,12,63,14,0,77
2018,Washington,2,40,15,0,55
2018,Washington,3,76,13,0,89
2018,Washington,4,55,13,1,69
2018,Washington,5,50,17,0,67
2018,Washington,6,34,18,0,52
2018,Washington,7,61,25,0,86
2018,Washington,8,58,19,0,77
2018,Washington,9,49,12,0,61
2019,Washington,1,51,18,0,69
2019,Washington,10,65,11,0,76
2019,Washington,11,69,19,0,88
2019,Washington,12,55,12,0,67
2019,Washington,2,38,17,0,55
2019,Washington,3,67,25,0,92
2019,Washington,4,65,19,1,85
2019,Washington,5,66,22,0,88
2019,Washington,6,63,14,0,77
2019,Washington,7,71,25,0,96
2019,Washington,8,72,26,0,98
2019,Washington,9,80,32,1,113
2020,Washington,1,58,17,0,75
2020,Washington,2,55,16,0,71
2020,Washington,3,27,11,0,38
2020,Washington,4,2,1,0,3
2020,Washington,5,16,2,0,18
2020,Washington,6,67,21,0,88
2018,Calvert,1,1,0,0,1
2018,Calvert,10,24,4,1,29
2018,Calvert,11,21,7,0,28
2018,Calvert,12,29,7,0,36
2018,Calvert,2,1,0,0,1
2018,Calvert,3,4,5,0,9
2018,Calvert,4,2,1,0,3
2018,Calvert,5,7,1,1,9
2018,Calvert,6,1,2,0,3
2018,Calvert,7,3,0,0,3
2018,Calvert,8,4,2,0,6
2018,Calvert,9,26,9,0,35
2019,Calvert,1,25,5,0,30
2019,Calvert,10,23,8,0,31
2019,Calvert,11,25,10,0,35
2019,Calvert,12,22,9,0,31
2019,Calvert,2,19,7,0,26
2019,Calvert,3,21,2,0,23
2019,Calvert,4,27,11,0,38
2019,Calvert,5,25,6,0,31
2019,Calvert,6,28,10,0,38
2019,Calvert,7,20,9,0,29
2019,Calvert,8,25,10,0,35
2019,Calvert,9,19,13,0,32
2020,Calvert,1,19,5,0,24
2020,Calvert,2,25,9,0,34
2020,Calvert,3,25,4,0,29
2020,Calvert,4,14,2,0,16
2020,Calvert,5,14,7,0,21
2020,Calvert,6,20,10,0,30
